id,activity_name,domain,difficulty,goal,skills_targeted,materials,time_required_minutes,step_instructions,age_range,sensory_suitability,autism_level_suitability,environment_fit,cost_level,learning_style_fit
68,Dance Freeze (Gross Motor) - Improve balance and #11,Gross Motor,Easy,Improve balance and coordination,"motor planning, core strength","notebook, ball",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Mixed
69,Guided Journal (Writing) - Improve spacing and #237,Writing,Easy,Improve spacing and line awareness,"copying skills, visual-motor integration","buttons, spoon",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Neutral,Level 1 (mild support),Outdoor friendly,No cost,Kinesthetic
70,Threading (Fine Motor) - Improve writing readiness #114,Fine Motor,Moderate,Improve writing readiness,"hand-eye coordination, grip strength","rubber bands, soft toys, rice or beans in a container",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Neutral,Level 1 (mild support),Group setting possible,No cost,Kinesthetic
71,Sticker Pick-Up (Fine Motor) - Improve buttoning and #227,Fine Motor,Easy,Improve buttoning and zipping practice,"grip strength, hand-eye coordination","glue, tape on floor, plastic cups",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Sensory-avoidant,Level 1 (mild support),Group setting possible,No cost,Mixed
72,Ball Toss (Gross Motor) - Build stamina with #211,Gross Motor,Easy,Build stamina with short routines,"inhibition control, balance","markers, small toys, picture cards",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Neutral,Level 1 (mild support),Group setting possible,No cost,Kinesthetic
73,Picture Naming (Speech) - Develop sentencebuilding skills #159,Speech,Easy,Develop sentence-building skills,"speech production, vocabulary","string, notebook",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Sensory-avoidant,Level 2 (moderate support),Group setting possible,Low cost,Visual
74,Pinch & Place (Fine Motor) - Develop pincer grasp #82,Fine Motor,Easy,Develop pincer grasp,"finger isolation, dexterity","playdough, buttons",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Mixed,Level 1 (mild support),Group setting possible,Low cost,Mixed
75,Turn-Taking Game (Speech) - Support sound articulation #104,Speech,Easy,Support sound articulation,"listening, speech production","pom-poms, pillow",25,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Mixed,Level 1 (mild support),Quiet environment,No cost,Visual
76,Animal Walks (Gross Motor) - Encourage wholebody movement #183,Gross Motor,Challenging,Encourage whole-body movement,"core strength, inhibition control","rubber bands, pencil, pillow",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Mixed,Level 1 (mild support),Group setting possible,No cost,Visual
77,Playdough Press (Fine Motor) - Improve buttoning and #90,Fine Motor,Challenging,Improve buttoning and zipping practice,"bilateral coordination, hand-eye coordination","safe scissors, glue",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Neutral,Level 1 (mild support),Group setting possible,Low cost,Kinesthetic
78,Follow Directions (Speech) - Develop sentencebuilding skills #19,Speech,Easy,Develop sentence-building skills,"listening, speech production","stickers, playdough, clothespins, crayons",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",8-10,Sensory-avoidant,Level 2 (moderate support),Quiet environment,Medium cost,Auditory
79,Follow Directions (Speech) - Develop sentencebuilding skills #150,Speech,Easy,Develop sentence-building skills,"speech production, vocabulary","spoon, stickers, pom-poms, glue",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Sensory-avoidant,Level 2 (moderate support),Quiet environment,No cost,Auditory
80,Threading (Fine Motor) - Practice bilateral coordination #203,Fine Motor,Easy,Practice bilateral coordination,"hand-eye coordination, bilateral coordination","spoon, rubber bands, crayons",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 3 (high support),Outdoor friendly,Low cost,Kinesthetic
81,Turn-Taking Game (Speech) - Develop sentencebuilding skills #42,Speech,Challenging,Develop sentence-building skills,"speech production, social communication","pom-poms, buttons, stickers, small toys",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,Low cost,Visual
82,Sentence Starters (Writing) - Build sentence writing #115,Writing,Moderate,Build sentence writing using prompts,"fine motor precision, visual-motor integration","stickers, rice or beans in a container, pom-poms, playdough",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Mixed,Level 3 (high support),Low materials / small space,Low cost,Kinesthetic
83,Cup Stacking (Fine Motor) - Improve buttoning and #30,Fine Motor,Easy,Improve buttoning and zipping practice,"grip strength, dexterity","rubber bands, pillow",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Sensory-avoidant,Level 1 (mild support),Group setting possible,No cost,Visual
84,Deep Pressure Routine (Sensory) - Practice deep pressure #112,Sensory,Easy,Practice deep pressure calming routine,"proprioception, sensory modulation","glue, stickers, notebook, playdough",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Sensory-seeking,Level 1 (mild support),Quiet environment,No cost,Mixed
85,Cup Stacking (Fine Motor) - Improve writing readiness #236,Fine Motor,Easy,Improve writing readiness,"finger isolation, bilateral coordination","coins, rubber bands, zipper pouch, rice or beans in a container",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 3 (high support),Outdoor friendly,No cost,Visual
86,Clothespin Squeeze (Fine Motor) - Develop inhand manipulation #149,Fine Motor,Easy,Develop in-hand manipulation,"dexterity, finger isolation","rice or beans in a container, pom-poms, string",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Neutral,Level 3 (high support),Group setting possible,Low cost,Visual
